id,author,depth,source,timestamp,long,lat,elevation
#NAME?,Kevin Salys,167.9999937,MountainHub,Mon May 01 2017 19:44:43 GMT+0000 (UTC),-145.7338603,61.13214011,833.2020874
vzExkGJk,Naomi F. Ray,55,MountainHub,Fri May 05 2017 22:10:08 GMT+0000 (UTC),-145.7879311,61.14093043,1434.498901
VzZiKFjo,Katreen Wikstrom Jones,78,MountainHub,Sat Mar 18 2017 19:21:44 GMT+0000 (UTC),-145.7512654,61.14210667,769.6588745
w3RXWglK,Kevin Salys,204.9999923,MountainHub,Mon May 01 2017 19:19:23 GMT+0000 (UTC),-145.7266221,61.13413477,870.8278198
W4i8wsVM,Jason Champion,255,SnowPilot,Mon Apr 10 2017 01:46:55 GMT+0000 (UTC),-145.618973,61.287762,1164.283447
w9yTUCY2,Katreen Wikstrom Jones,150,MountainHub,Sun Apr 30 2017 23:14:47 GMT+0000 (UTC),-145.7464488,61.14860734,775.9770508
/WA4ISiZ,Bobby Liebs,78,MountainHub,Sun Mar 19 2017 03:47:31 GMT+0000 (UTC),-145.6922416,61.17596408,666.8294678
wA6UuACA,Katreen Wikstrom Jones,0,MountainHub,Fri Mar 17 2017 20:24:44 GMT+0000 (UTC),-145.7564782,61.1413738,806.347229
wbCiB4tM,Katreen Wikstrom Jones,196,MountainHub,Sun Apr 30 2017 18:11:36 GMT+0000 (UTC),-145.7362817,61.13214168,824.1998291
WHwD71yw,Gabriel Wolken,174,MountainHub,Fri Mar 17 2017 21:48:17 GMT+0000 (UTC),-145.755458,61.13734785,812.8463135
WjvpDbSh,Sarah Carter,118,MountainHub,Thu Mar 16 2017 22:06:38 GMT+0000 (UTC),-146.3259917,61.07657461,156.1623535
WkD/mCRL,Kevin Salys,74.99999717,MountainHub,Mon May 01 2017 19:10:33 GMT+0000 (UTC),-145.7243867,61.13510187,862.8842773
WLiIIKjh,Gabriel Wolken,106,MountainHub,Sun Apr 30 2017 22:41:01 GMT+0000 (UTC),-145.7506898,61.14469194,829.4841919
WoeRVfCK,AK Rendezvous,107,SnowPilot,Sat Mar 18 2017 01:46:35 GMT+0000 (UTC),-145.128021,61.151633,1192.881348
wu+6gycN,Katreen Wikstrom Jones,88,MountainHub,Sun Apr 30 2017 22:32:14 GMT+0000 (UTC),-145.7475374,61.14602689,809.2103271
wUOrMfxQ,Katreen Wikstrom Jones,86,MountainHub,Sat Mar 18 2017 18:24:47 GMT+0000 (UTC),-145.7453423,61.14390031,749.7612915
WvmW35Gh,Katreen Wikstrom Jones,137,MountainHub,Sat Mar 18 2017 22:22:43 GMT+0000 (UTC),-145.725845,61.14396138,728.3725586
x3F7/tbe,Gabriel Wolken,86,MountainHub,Sun Apr 30 2017 20:48:44 GMT+0000 (UTC),-145.7217835,61.13322688,931.0664673
#NAME?,Max Wittenberg,120,SnowPilot,Wed Apr 12 2017 04:50:56 GMT+0000 (UTC),-145.92659,61.289813,1539.513184
XcXJ7xuQ,Kevin Salys,134.9999949,MountainHub,Mon May 01 2017 19:05:38 GMT+0000 (UTC),-145.7256413,61.13545914,846.6008911
xf8Y9MeD,Katreen Wikstrom Jones,35,MountainHub,Sun Apr 30 2017 19:48:27 GMT+0000 (UTC),-145.7172322,61.13085556,945.8883057
xF/oOzBq,Katreen Wikstrom Jones,52,MountainHub,Sat Mar 18 2017 18:20:46 GMT+0000 (UTC),-145.7474565,61.14321329,754.9019165
xHCJUOsN,Gabriel Wolken,156,MountainHub,Sat Mar 18 2017 19:13:00 GMT+0000 (UTC),-145.7444835,61.14590845,788.7432861
XhHtQInp,Katreen Wikstrom Jones,232,MountainHub,Sat Mar 18 2017 18:32:39 GMT+0000 (UTC),-145.7450674,61.14346085,738.6397095
xjZy/tWY,Katreen Wikstrom Jones,169,MountainHub,Sat Mar 18 2017 22:26:57 GMT+0000 (UTC),-145.7257538,61.14336576,739.2335815
xmj1t0mB,Katreen Wikstrom Jones,78,MountainHub,Sat Mar 18 2017 23:52:07 GMT+0000 (UTC),-145.7146979,61.1399047,872.9731445
XOskb8Ct,Gabriel Wolken,66,MountainHub,Sun Mar 19 2017 01:00:18 GMT+0000 (UTC),-145.7192637,61.14837726,744.989502
XrrTu3ax,Bobby Liebs,105,MountainHub,Sat Mar 18 2017 20:34:10 GMT+0000 (UTC),-145.8577413,61.26227391,971.2420654
xUmtyry8,Kevin Salys,123.9999953,MountainHub,Mon May 01 2017 19:13:58 GMT+0000 (UTC),-145.7249968,61.13480444,865.1915894
xYX31AI1,Gabriel Wolken,17,MountainHub,Fri Mar 17 2017 20:17:04 GMT+0000 (UTC),-145.7561591,61.14155376,806.4446411
Y79XlYNx,Bobby Liebs,114,MountainHub,Sun Mar 19 2017 03:54:59 GMT+0000 (UTC),-145.7010273,61.17965299,713.8011475
y7eLLXTH,Katreen Wikstrom Jones,200,MountainHub,Sat Mar 18 2017 19:04:43 GMT+0000 (UTC),-145.7508102,61.14375066,803.8526001
y81rllvd,Gabriel Wolken,178,MountainHub,Sun Mar 19 2017 00:30:25 GMT+0000 (UTC),-145.7394239,61.13982151,786.6240234
YArsaSYH,Max Wittenberg,125,SnowPilot,Tue Mar 21 2017 04:55:42 GMT+0000 (UTC),-145.754757,61.199413,917.029541
Ye+CD6fd,Katreen Wikstrom Jones,45,MountainHub,Fri Mar 17 2017 23:14:24 GMT+0000 (UTC),-145.7727616,61.13290271,897.8286133
YFFql4TL,Katreen Wikstrom Jones,90,MountainHub,Sun Apr 30 2017 19:15:42 GMT+0000 (UTC),-145.7163415,61.128243,858.8717041
YHeClsVB,Naomi F. Ray,87,MountainHub,Sat Apr 29 2017 21:20:45 GMT+0000 (UTC),-145.7549981,61.14057806,792.7923584
YIxF0C9D,Katreen Wikstrom Jones,32,MountainHub,Sun Apr 30 2017 20:40:58 GMT+0000 (UTC),-145.7259435,61.13256199,895.0713501
yjjf3sPZ,Kevin Salys,80.99999695,MountainHub,Mon May 01 2017 19:39:05 GMT+0000 (UTC),-145.7331061,61.13302519,847.6617432
yKP9le8t,Bobby Liebs,101,MountainHub,Sun Mar 19 2017 04:03:14 GMT+0000 (UTC),-145.7083546,61.18062776,810.6313477
YMK0FBU8,Katreen Wikstrom Jones,179,MountainHub,Fri Mar 17 2017 20:32:55 GMT+0000 (UTC),-145.760285,61.13956649,822.1508179
YNEiKxhe,Katreen Wikstrom Jones,65,MountainHub,Sun Apr 30 2017 22:55:44 GMT+0000 (UTC),-145.7507341,61.147808,819.8533936
YQ8VqhpP,Katreen Wikstrom Jones,99,MountainHub,Sun Apr 30 2017 22:30:20 GMT+0000 (UTC),-145.7473222,61.14622835,806.3024902
YRs3ra0y,Bobby Liebs,138,MountainHub,Sat Mar 18 2017 20:46:55 GMT+0000 (UTC),-145.8635387,61.26186823,990.3696899
YubxeKH0,Katreen Wikstrom Jones,0,MountainHub,Sat Mar 18 2017 19:06:32 GMT+0000 (UTC),-145.7513294,61.1437157,809.4165649
yVSuG9Ix,Katreen Wikstrom Jones,87,MountainHub,Sat Mar 18 2017 18:15:29 GMT+0000 (UTC),-145.7481895,61.1428488,754.6868896
YWn1CGVP,Jason Champion,260,SnowPilot,Sun Apr 09 2017 18:24:20 GMT+0000 (UTC),-145.653305,61.233286,1262.385376
Z0cP17qa,Katreen Wikstrom Jones,140,MountainHub,Sun Apr 30 2017 18:25:14 GMT+0000 (UTC),-145.7343419,61.13191771,833.4516602
zB9Tqv7i,Gabriel Wolken,192,MountainHub,Sun Apr 30 2017 22:33:05 GMT+0000 (UTC),-145.7499535,61.14505664,828.8778076
ZDtPqJRR,Kevin Salys,127.9999952,MountainHub,Mon May 01 2017 18:45:05 GMT+0000 (UTC),-145.7333786,61.13537184,822.5681152
ZeW3fHC2,Katreen Wikstrom Jones,80,MountainHub,Sun Apr 30 2017 23:37:34 GMT+0000 (UTC),-145.7446045,61.14695355,787.3140259
zFiTf4KQ,Katreen Wikstrom Jones,147,MountainHub,Fri Mar 17 2017 22:35:05 GMT+0000 (UTC),-145.7612532,61.13405099,857.8074341
zI7myvew,Kevin Salys,89.99999661,MountainHub,Mon May 01 2017 18:31:24 GMT+0000 (UTC),-145.7379379,61.13358598,818.0685425
zI+eeAjn,Katreen Wikstrom Jones,250,MountainHub,Sat Mar 18 2017 23:11:11 GMT+0000 (UTC),-145.7303542,61.14088145,767.2901001
zNZyZ7FZ,Bobby Liebs,280,MountainHub,Wed Apr 05 2017 19:33:09 GMT+0000 (UTC),-145.673786,61.15746044,1224.682861
/zqsdz+U,Katreen Wikstrom Jones,99,MountainHub,Sun Mar 19 2017 01:11:30 GMT+0000 (UTC),-145.7140777,61.15195822,741.2542114
zRWjW2E0,Katreen Wikstrom Jones,75,MountainHub,Sun Apr 30 2017 18:40:02 GMT+0000 (UTC),-145.7294176,61.12941852,843.689209
zt4srjRG,Max Wittenberg,200,SnowPilot,Sun Mar 19 2017 01:36:29 GMT+0000 (UTC),-145.750122,61.185516,955.7406616
